,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
D4,463.0,0.0,6.0,15.0,0.0,37.0,9.0,9.0,0.0,143.0,12.0,197.0,951.0,9.0,139.0,0.0,598.0,0.0,17.0,1.0,639.0,0.0,0.0,2.0,0.0,69.0,1.0,409.0,8.0,0.0,0.0,236.0,3.0,1.0,13.0,0.0
D5,2.0,69.0,176.0,3.0,683.0,483.0,38.0,244.0,460.0,137.0,1.0,3.0,0.0,56.0,135.0,253.0,0.0,1.0,158.0,10.0,0.0,13.0,206.0,243.0,0.0,49.0,1.0,0.0,0.0,63.0,143.0,0.0,8.0,0.0,29.0,0.0
D6,1.0,0.0,4.0,0.0,0.0,69.0,0.0,3.0,9.0,3.0,1.0,0.0,0.0,1.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
D7,112.0,4.0,16.0,19.0,5.0,358.0,3.0,15.0,6.0,159.0,0.0,0.0,0.0,30.0,147.0,131.0,0.0,578.0,102.0,658.0,0.0,574.0,20.0,4.0,0.0,45.0,0.0,0.0,17.0,48.0,6.0,0.0,14.0,0.0,0.0,0.0
D8,2994.0,1.0,16.0,0.0,0.0,2.0,0.0,13.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,129.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,155.0,0.0,0.0,0.0,2.0,51.0,0.0,0.0
D10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D11,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D12,31.0,0.0,1.0,0.0,0.0,8.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
D14,0.0,12.0,106.0,3.0,1129.0,215.0,77.0,120.0,722.0,405.0,2.0,3.0,0.0,34.0,85.0,189.0,2.0,1.0,21.0,2.0,3.0,0.0,245.0,275.0,2.0,189.0,0.0,0.0,0.0,55.0,1.0,3.0,1.0,0.0,2.0,0.0
D15,0.0,1999.0,567.0,1.0,13.0,193.0,282.0,396.0,145.0,63.0,4.0,0.0,0.0,14.0,31.0,25.0,2.0,1.0,11.0,2.0,0.0,1.0,86.0,9.0,8.0,32.0,0.0,0.0,0.0,22.0,5.0,0.0,1.0,0.0,0.0,0.0
D17,0.0,11.0,22.0,1882.0,5.0,374.0,19.0,12.0,13.0,170.0,1210.0,954.0,1.0,786.0,363.0,90.0,138.0,1.0,390.0,0.0,2.0,6.0,9.0,13.0,4.0,58.0,480.0,0.0,0.0,74.0,89.0,2.0,113.0,0.0,3.0,0.0
D25,2.0,2.0,177.0,3.0,1.0,7.0,612.0,56.0,6.0,10.0,3.0,1.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
D26,0.0,15.0,259.0,0.0,4.0,8.0,25.0,464.0,6.0,79.0,0.0,0.0,0.0,9.0,4.0,40.0,1.0,0.0,1.0,0.0,1.0,0.0,9.0,6.0,539.0,28.0,0.0,0.0,0.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0
D28,0.0,6.0,530.0,0.0,15.0,1.0,494.0,344.0,3.0,123.0,2.0,0.0,0.0,5.0,4.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,7.0,26.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
D29,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D30,0.0,3.0,93.0,0.0,5.0,1.0,138.0,14.0,3.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
